product_category_name,avg_score
cds_dvds_musicais,4.6428571428571429
fashion_roupa_infanto_juvenil,4.5000000000000000
livros_interesse_geral,4.4452554744525547
construcao_ferramentas_ferramentas,4.4444444444444444
flores,4.4193548387096774
livros_importados,4.4000000000000000
livros_tecnicos,4.3636363636363636
malas_acessorios,4.3149171270718232
alimentos_bebidas,4.3127272727272727
portateis_casa_forno_e_cafe,4.3026315789473684
fashion_calcados,4.2393822393822394
fashion_esporte,4.2333333333333333
alimentos,4.2296747967479675
cine_foto,4.2054794520547945
papelaria,4.1966359631557869
musica,4.1891891891891892
pet_shop,4.1836523538541128
pcs,4.1750000000000000
eletrodomesticos,4.1737967914438503
perfumaria,4.1648545401116662
brinquedos,4.1593028964162985
instrumentos_musicais,4.1525925925925926
eletroportateis,4.1471025260029718
cool_stuff,4.1470744680851064
fashion_bolsas_e_acessorios,4.1445603576751118
beleza_saude,4.1429168407856247
eletrodomesticos_2,4.1324786324786325
artes_e_artesanato,4.1250000000000000
tablets_impressao_imagem,4.1234567901234568
esporte_lazer,4.1087464920486436
moveis_quarto,4.1028037383177570
industria_comercio_e_negocios,4.0946969696969697
sinalizacao_e_seguranca,4.0816326530612245
dvds_blu_ray,4.0793650793650794
automotivo,4.0659025787965616
utilidades_domesticas,4.0549609487995372
construcao_ferramentas_construcao,4.0542888165038002
construcao_ferramentas_iluminacao,4.0540540540540541
construcao_ferramentas_jardim,4.0502092050209205
ferramentas_jardim,4.0454440064920009
eletronicos,4.0382235165635238
bebidas,4.0375335120643432
consoles_games,4.0257777777777778
relogios_presentes,4.0207245155855097
artigos_de_natal,4.0205479452054795
market_place,4.0162337662337662
bebes,4.0118499012508229
la_cuisine,4.0000000000000000
agro_industria_e_comercio,4.0000000000000000
climatizacao,3.9723183391003460
moveis_cozinha_area_de_servico_jantar_e_jardim,3.9712230215827338
fashion_underwear_e_moda_praia,3.9689922480620155
artes,3.9514563106796117
telefonia,3.9474617601418754
informatica_acessorios,3.9365652398143373
casa_construcao,3.9345637583892617
moveis_decoracao,3.9114850036576445
cama_mesa_banho,3.9007849580138737
moveis_sala,3.8967611336032389
construcao_ferramentas_seguranca,3.8445595854922280
casa_conforto,3.8422273781902552
,3.8390949088623507
audio,3.8333333333333333
moveis_colchao_e_estofado,3.8157894736842105
fashion_roupa_feminina,3.7755102040816327
artigos_de_festas,3.7674418604651163
telefonia_fixa,3.6832061068702290
fashion_roupa_masculina,3.6412213740458015
casa_conforto_2,3.6296296296296296
moveis_escritorio,3.4955277280858676
pc_gamer,3.3333333333333333
portateis_cozinha_e_preparadores_de_alimentos,3.2666666666666667
fraldas_higiene,3.2564102564102564
seguros_e_servicos,2.5000000000000000
